hinglish,label
"मैं कहूंगा कि Robert Downey जोर भी यहां अपनी क्षमता के साथ खेल रहे हैं , अपने तेज जीभ और परिष्कार के साथ . आपका पसंदीदा चरित्र कौन था ?",positive
Robert Downey मेरे सबसे पसंदीदा पसंदीदा चरित्र है,positive
क्या आपको लगता है कि उन्होंने evenjars की अच्छी leadership की या किसी और ने आपको इस तरह से खड़ा किया ?,positive
"नहीं , वह सही है",positive
"Tesseract से बचकर निकलना काफी अच्छा था , films के लिए टोन set करना .",positive
मैं भई यही film की सफलता का कारण था,positive
हाँ जब हौके movie में इतनी जल्दी enslave होगया तो वह काफी surprising था,positive
वह image capture skills के बारे में है,neutral
Please मुझे chat करो fast,positive
"मैं उसके बारे में सूर्य नहीं हूँ , but Nick Fury हमेशा बहुत cool रहता है . अफसोस बाद guys हमेशा एक कदम आगे रहते हैं",negative
वह उनका nature है और वह impossible है,negative
I guess so . आखिर चितौरी के leader का क्या मामला है . काफी mysterious,neutral
वह बिल्कुल last तक mystery था,neutral
At least is film के लिए I guess . जब Coulson मेरा काफी sad था . किया उस scene में feeling आई ?,negative
देखने की एक झलक थी,neutral
"हाँ , at least सभी avengers को साथ ले आये , pure time आपस में लड़ने की कोई जरूरत नहीं थी",neutral
कोई ज़रूरत नहीं,neutral
absolutely loki को मारो जैसे हलक ने मारा था उसकी butt पर लात किसने मारी,positive
मुझे लगता है ऐसा,neutral
मुझे अच्छा लगा कि हल्क ने Iron मान को बचाया गिरने से कितना अच्छा समय था वो,positive
मुझे भी Hulk पसंद है,neutral
"तुम्हें नहीं लगता वह सबसे अच्छा है , बोट बड़ी बात है कि पूरी team साथ में काम करती है दिन को आखिर में बचाने के लिए ?",positive
मुझे पता है मैं सोच रहा था,neutral
कुछ तो बोट बड़ा stake है use nuclear missile में जो new york की तरफ जा रही थी,positive
नमस्ते . अपने film के बारे में क्या सोचा ?,neutral
नमस्ते ?,neutral
"नमस्ते , मुझे लगता है कि यह बहुत अच्छा है , यह भी रोडवे sangeet के रूप में अच्छा होगा",positive
आपको क्या लगता है कि ब्रॉडआवे sangeet के रूप में यह बहुत अच्छा होगा ?,positive
मुख्य रूप से गायन लेकिन जब से कहानी एक यात्रा के बारे में है .,positive
तुम क्या सोचते हो ?,neutral
"films में संगीत बहुत ही आकर्षक और आनंददायक है , इसलिए मैं सहमत हूँ .",positive
आपने किसकी यात्रा को सबसे अधिक सम्मोहक पाया ?,positive
अन्ना की यात्रा,neutral
क्या आपको लगता है कि निष्कर्ष उसके चरित्र के लिए संतोषजनक था ?,positive
"वह खुद होने की कोशिश कर रहे थे और साथ ही साथ अपनी बहन की रक्षा कर रहे थे , इसलिए मुझे लगता है कि यह पूरा होने के बाद से संतुष्ट थे .",positive
मैं सहमत हूँ,neutral
क्या आपने परी कथा के बारे में सुना है जो film पर आधारित थी ?,neutral
नहीं कभी नहीं .,neutral
आप किस चरित्र की सबसे अधिक प्रशंसा करते हैं ?,positive
नमस्कार,neutral
Hello !,neutral
तुम John Lee Hancock के बारे में क्या सोचते हो ?,neutral
Hello,neutral
हे ! क्या The social network देखा ?,neutral
नहीं यार . लेकिन मुझे पता हैं कि वह 2010 mien filmed हवा,neutral
आप देख ?,neutral
मैं personally enjoy किया .. facebook का story हैं यार .. reality based movie देखना पसंद हैं ?,positive
"मुझे भी .. मुझे जैसे eisenberg और justin timberlake पसंद हैं . यह movie अछे reviews निकली , maybe मैं watch जरूर करूंगा",positive
तो मैं जरूर recommend करूँगा .. ये अछे हैं .. क्या जैसे eisenberg यानी zuckerburg का role play intense से किया .. वो तो बढ़िया film हैं,positive
क्या आप उस book को read किया जो ये movie ? the accidental billionaires ?,neutral
मैं कुछ learn किये हैं उस book से आज .. मैं definitely पढूंगा,neutral
अच्छा तो biographical part tho is movie में ज़रूर सच कहा होगा .. क्यों की is movie tho book का बसे हैं .. mark zuckerberg तो कोई contribute नहीं दिया होगा,positive
"यह जानना जरूर interesting है . में हमेशा इस बारे में सोचता था . Apparently , Saverin अकेले consultant था जिसके पास कोई true to life information थी .",positive
क्या Armie Hammer को दो लोग play करते हुए देखना weird था ?,negative
वह था ! To be honest उन्होंने इतना अच्छा काम किया की मुझे realize नही हुआ दोनों Armie Hammer थे . वह एक amazing actor हैं . में यह भी सोचता हूँ कि पकीसमश एक hilarious startup name है,positive
ये हैं ! क्या crazy story है .. basically वह dumped होगया और उसे बदले लेते हुए millions कमा लिये,negative
"Kinda contentious बंद है . जितना तुम अभी जानते हो , अगर उसके साथ school में होते तो क्या उसके साथ friendly होते ?",positive
"Hmm .. शायद नहीं . दोस्त रखने में तो उसका कोई अच्छा luck नहीं है . कितने ironic है कि उसने Facebook invent kiya . तुम क्या सोचते हो , क्या उसके दोस्त होते ?",positive
बिल्कुल नहीं .,neutral
मैंने भी सोचा था कि यह ironic है . मुझे तो believe नहीं हुआ,positive
वह scene जहां Christy लिए बोलती है Facebook में funny type का है . Certainly facesmash में बोलने से तो अच्छा है .,positive
"Agreed . इसका sense तो बनता है but मुझे कोई idea नहीं था कि Zuckerberg को रास्ते में कितनी help मिली है , especially Napster के एक founder सी .",neutral
"Justin Timberlake ने उसे बहुत अच्छा play किया है . मुझे भी इस बारे में कुछ नहीं पता था , लेकिन यह ध्यान में रखो कि यह book पे बसे हैं . कैसे पाता वह actually कितना involved था .",neutral
यह तो सही है . में इस सोच में हूँ कि क्या Mark Zuckerberg ने Sean Parker को actually Facebook के headquarters में रहने के लिए बुलाया था !,positive
"उनका यह सब घर से करना मुझे पसंद आया . तुम्हें पता है कितना कुछ हुआ . अगर Sean Parker वहां रहता तो , कैसे पता . I love कैसे यह tech company start up घर से चल रही है . I wonder वह कौनसी दूसरे continent में पहली expand करना चाहते थे",positive
"I think उसकी success को consider करते हुए थेफेकबुक काफी funny है . पहले पकीसमश , फिर Harvard Connection फिर थेफेकबुक yikes !",positive
थेफेकबुक तो बिलकुल बेकार है . ऐसा लगता है Zuckerberg ने सही में दूसरे लोगों की लिली,positive
उसका Albright का friend request accept करने तक wait करना काफी creepy था,neutral
मुझे तो यह sad लगा . वह story की beginning से ज्यादा बदला नहीं .,neutral
मुझे तो ऐसा लगता है . में surprise नहीं हो के उसे settlement करना पड़ा,neutral
उसने दुनिया का सबसे बड़ा social network बनाया but वह एक ऐसा आदमी लगता है जैसे लोग हटे करते हैं,negative
बिल्कुल misanthropic . में तो agree करता हूँ . Overall यह sad है .,neutral
उसने बुराई करने के लिए दीमक का उपयोग नहीं किया,negative
तुम अभी भी वहाँ हो,neutral
10 MINUTES हो गया,neutral
movie है Toy Story,neutral
"1995 से , director हैं John Lasseler , rotten tomatoes में 100 % , 9/10 score है",neutral
"हैलो , क्या तुमने Toy Story देखा है ? मैं मानता हूँ critic से कोई उसमें purity और ecstatic freedom of imagination हैं.क्या सोचते हो तुम ?",neutral
"हाँ agreed , वह बहुत popular movie था .",positive
मुझे animations पसंद हैं और Pixar amazing हैं.यह बहुत perfect था.जैसे mention किया था कि यह एक genius का work है .,positive
मुझे भी पिचर पसंद है,positive
शायद वह और एक toy story movie बनाएंगे,neutral
woody और भुज के भीतर का संभाषण अच्छा है . और tom हांक का आवाज woody को suit होता है achese,positive
"अरे ha , classic आवाज़ है",positive
मुझे अच्छा लगता है कि कैसे उनकी friendship बढ़ती है,neutral
यह देखने में अच्छा था कि कैसे वह दुश्मन से दोस्त बंटी हैं,positive
मुझे स toys भी अछी लगी,positive
woody and buzz to अछे है ही but बाकी लोग भी अछी थी,positive
toy story के कम movie = से नहीं है न,negative
हुआ है . भीख मांगने के scene में andy की party बहोत अछि थी,positive
है और जब उसकी पहली बुझ मिले,positive
क्या तुम वहाँ अभी तक हूँ ?,neutral
"हाँ sue , और दूसरी toy भी बहुत funny है",positive
आप का favorite कौन है ?,positive
यह बहुत मुश्किल से कहना है कि मैं more potato head के support में हुई .,negative
आपके अपने बड़े मैक्या खयाल है ?,neutral
मैने सोचा bopeep,neutral
pizza planet के बारे में क्या कहना है . अभी क्या confusion है ?,positive
yeah !,neutral
जब little aliens आये,negative
"हाँ क्यों नहीं , यहाँ सभी run मिल सकते हैं . bahut achcha",positive
Andys की neighbor Sid के भाष्य में क्या खयाल है . toy के लिए terrifying children right hsi क्या ?,negative
Andy's RC कर बहुत funny है आप का क्या खयाल है ?,positive
मुझे याद नहीं है .,neutral
Woody Andys की कार में वापस आता है जो एक अच्छी बात है,positive
क्या आप ने history की end को enjoy किया ?,positive
तुम्हारा क्या मतलब है ?,negative
things कब end होगी means happy or right ?,positive
ha definitely !,neutral
hello,neutral
movie का नाम क्या था ?,neutral
hello,neutral
क्या तुमने ' The Post ' देखी है ?,neutral
नही मैने नहीं किया,neutral
कौनसा genre है यह ?,neutral
"यह ' Historical , Political ' है",neutral
Steven Spielberg ने इसे direct किया,neutral
oh . क्या इसमें कोई actor है जिसका मुझे पता हो ?,neutral
मेरिल स्टोरी,neutral
steel,neutral
Tom Hanks,neutral
क्या यह नई movie है ?,positive
"हां , 2017",neutral
"oh , मुझे लगता है मैं थोडा समय में पीछे हूँ . क्या ये well received हैं ?",negative
मैं सोचता हूँ ये worth watching है,positive
क्या तुम plot के बारे में जानना चाहते हो ?,neutral
बाद में post का क्या नाम था ? movie के बारे में क्या कहना है ?,neutral
हाँ please,neutral
इस post में pentagon papers को प्रकाशित करने के लिए journalists की attempts की story है,neutral
papers,neutral
ये क्या vietnam war से related है ?,neutral
हुआ,neutral
यह movie government cover up के बारे में है ?,neutral
government हमेशा कुछ छुपाने की कोशिश करती है ;),positive
यह क्या सच है !,neutral
मुझे लगता है कि मैं यह movie enjoy करूँगा,positive
मुझे लगता है ये movie देखने लायक है,positive
क्या यहां लंबा show है ?,neutral
क्या तुम्हें length पाता है ?,neutral
मुझे length नहीं पाता .,neutral
लेकिन probably 1.30 है as usual ..,negative
क्या तुम्हें पता है अगर कोई award जीता है ?,neutral
मुझे नहीं पता,neutral
Thanks मुझे post के बारे में बताने के लिए .,positive
नमस्ते ! आप को superhero movies अच्छा लगेगा क्या ?,neutral
ha . batman start हुआ ! मैने सोचा है कि ई batman film तो great है . आप देखा है क्या ?,positive
ha . मेरे पास है . Christian Bale तो मेरे favorite Batman है अभी तक .,positive
"आप movies का ratings देखेगा क्या , देखने के पहले ?",negative
"मैने देखूंगी . लेकिन rating से कुछ फरक नहीं पड़ेगा , जो मैने देखूंगी या नहीं .",negative
"एह film तो बहुत great बड़ा actors था , ई तो दूसरा reason है मेरे को अच्छा लगा और मैने देखूंगी बिना actors खेलिए .",positive
"ha , बहुत सारा great actors है Batman Begins में . मैने like करूंगी Liam Neeson तो भी , वह तो eek villain be है .",positive
"उतना potential है actors में देखें big screen मेरे को बहुत interest आया था . मिलके दोनों super heroes और villains भी हुई . इसको अच्छा rating help करेगा , मैने time waste मत करूंगी दूसरा awful movie देखें .",positive
लेकिन same time में मैने नही deter करूंगी ए film से if मैने just genre देखें .,neutral
मैं personally अच्छी ratings prefer करता हूँ . Even अगर किसी movie में कई अच्छे actors हैं लेकिन अगर उसकी rating खराब है तो मैं उसको usually theaters में नहीं देखता .,positive
वैसे मैं sure नहीं हूं कि मैं Metacritic के 70/100 score से agree करूंगा .,negative
Rotten Tomatoes पे 84 % ज्यादा accurate लगता है .,positive
Generally मेरे पास enough patience होता है to wait for a film to be released on DVD / Video अगर मुझे rating पसंद नहीं आती .,neutral
Movie की बात scene के बारे में क्या ख्याल है ?,neutral
"मैं सोचता हूं कि यह scene shows the story of this film well , काफी सोचा समझा है .",neutral
वैसे I wonder कि bats के लिए dry well से बेहतर कोई place हो सकती थी क्या,positive
batman as a child अच्छा step था by the filmmaker यह दिखाने के लिए कि उसके life कैसे start हुई,positive
Because movie का नाम Batman Begins है so I agree कि Bruce की शुरुआती life दिखाना appropriate है .,positive
"मेरे ख्याल से यह ironic है है कि mugger's name is Joe Chill , लेकिन वह chill नहीं है if he murders people .",positive
"unlikely हाँ , मुझे लगता है वह batman कैसे बना के एक mysterious beginning दिखाना चाहते थे , but फिर भी थोड़ी mystery छोड़ना चाहती थी की उसे bats का phobia कैसे होता है .",negative
"बहुत ironic , मोर chill to एक bone chilling murdered है",neutral
"उसका भाई murder होजाता है , तो कम से कम वह जो deserve करता है उसे मिल जाता है",negative
जो उसके लिए होना था उसको मिल जाता है . But bruce उसका murder नहीं करता तो मैं सोचता हूँ वो उसकी बदला लेनी की चाहत रह जाती है .,neutral
"मुझे लगता है इस यह establish होने में help होती है कि Bruce कभी किसी का directly murder नहीं करते . Even जब वह league of Shadows को जला देते हैं , Ra's अल गुल को directly नहीं मारता है .",neutral
Injustice कभी भी murder का reason नहीं होना चाइये,neutral
मुझे लगता है की वह lucky था कि league of shadows का part बन गया और अपने bats की धार को हटा दिया .,positive
यह काफी strange है कि उसकी family butler afford कर सकती है but वह जेल छोड़ करने के लिए जाता है,neutral
मुझे Gary Oldman as Gordon अच्छा लगा . वह एक good cop अच्छा play करता है,positive
तुम Scarecrow वाले scenes के बारे में क्या सोचते हो ?,neutral
"scarecrow काफी scary character था , water supply को poison करने की try कर रहा था",negative
"और batman fear-inducing drugs से poisoned था , मुझे लगा उसका सब over है",neutral
"हाँ , पूरी movie में काफी points पर ऐसा लगा कि काफी character के लिए it was over",positive
मैं भी surprised था जब असली Ra's अल गुल ने खुद को दिखाया . League of Shadows आसानी से नहीं मरता,positive
लगता है past experience survive करने के बाद उसमें otherworldly power they,negative
अहो,neutral
HELLO,neutral
कैसा चल रहा है ?,neutral
अच्छा . क्या AAP MARVEL का FAN हो ?,positive
सुन के अच्छा लगा . AAP का बट क्या है ?,positive
है मैं बहुत बड़ा MARVEL FAN HUH . AVENGERS मेरे FAVORITE और MARK रफलो बहुत बढ़िया था हलक जैसा .,positive
"ठीक है , मेरे को भी AVENGERS पसंद है",positive
मैं भी यह सोच रहा कि MARK रफलो बढ़िया है हलक के लिये .,positive
क्या Avengers ऐसी Movie है कि हम इसके बारे में talk करना चाहिए ?,neutral
"rotten Tomatoes ने इसे 92 % rating दी है और 8/ 10 का average . या , मैं ऐसा believe करता हूँ .",negative
"तब ओके है . Right , मैं हमेशा experience किया है कि Rotten Tomatoes की comparison में IMDB movies को lower average rating देता है .",positive
not he it is था,neutral
यह तो sure है,positive
but मुझे लगता है कि 92 और 80 to fair rating assessment he .,positive
"हाँ , मुझे लगता है कि director के लिए भी Joss Whedon good choice . उसका vision comics के साथ वास्तव में इनलाइन था .",positive
"well , मैं comics के regarding तो कह नहीं सकता ( मैं उन्हें read नही किया की ) , but यह movies all heroes और उनकी stories का एक great माशूप की .",positive
merges यह है कि यह एक very good movie he amazing plot के साथ,positive
me agree करता हूँ .,neutral
Loki का Clint Barton को उस करना Tesseract की लिए help के लिए भी awesome था . मुझे वो पसंद है even though वह bad guy है,positive
"हां , बढ़िया scene था .",positive
मैं बोलूंगी कि लौकी एक likable villain है,positive
Avengers में उसका कहा सुनी करवारना काफी interesting था . तोड़ को movie के दौरान ऐसे लग रहा था उसके लिए loyalty है,positive
तुम यह सोचते हो ?,neutral
मुझे तो लगा वो उसके साथ काफी ruthless था,negative
वो बस मेरे opinion हैं obviously .,neutral
में वह देख सकता हूँ but मुझे लगता है वह बहुत ज्यादा दमगार कर सकता था अगर वो चाहता वो,positive
तुम्हारे mind में कोई specific example है ?,neutral
वह end fight scene definitely . वह use मार सकता था .,neutral
oh वहां का है जैसे हलक मार रहा है ?,neutral
है यह classic था film की सबसे मजेदार समय में से एक मुझे भी पसंद आया मैंने wormhole के माध्यम से वापस गिर गया मुझे लगता है कि यह हर किसी के पास था,positive
बिल्कुल महाकाव्य के scenes है,neutral
क्या हम इसी movie के बारे में चर्चा कर सकते हैं ?,negative
क्या तुम MCU जानते हो ?,neutral
मुझे भी यह पसंद है कि nick fury ने council के साथ अपना ground बता दिया शिर्क यह एक,neutral
समझ गया,neutral
है fury भी बोता बढ़ा है,positive
तो कोई आखिरी सुझाव ?,neutral
यह crazy बात है कि council चाहती है कि nuclear missile new york पर गिरी,negative
"great उदाहरण , man",positive
Another MCU fan से talk करना great था,positive
now ध्यान रखना,neutral
Definitely ! तुम भी !,neutral
नमस्ते,neutral
"नमस्ते , आज कल अच्छा picture चल रहा है क्या ?",positive
अच्छा ... आप कभी Batman का movie पहले कभी देखा है ?,neutral
"जी हां , हम को Batman movies बहुत पसंद है . उसमें actor कौन हैं ?",positive
Actor Christian Bale था,neutral
"अररे वाह , मैं उसको बहुत पसंद करता हूँ . यह picture में अच्छा मारा मारी है क्या ?",positive
"जी हा , इसमें Batman का काला side को बताया , और Batman का खराब हुआ दिमाग को खूब दिखाया .",neutral
अररे वाह . इसमें वह joker का बढ़िया role है क्या ?,positive
"No , मुझे लगता है कि वह scare crow था",neutral
oh okay . क्या यह एक long movie है ?,positive
मैं लगभग hour और half कहूगा .,negative
यह बहुत बाद नहीं है,negative
क्या तुम plot के बारे में थोड़ा सुनना चाहोगे,neutral
"Me really यह movie watch करना चाहुगा , I think",positive
Sure !,positive
ok यह bruce के बचपन के साथ start होती है,positive
Ah okay . किया उसके parents जिंदा है ?,positive
"Also , movie का नाम क्या है ?",neutral
"have films में मारना छोड़ देते हैं , जब brooks kill करना नहीं चाहता हैं",positive
begin होती है Batman,neutral
ओके.क्या किया अपने parents की death का Bruce revenge लेना चाहता है ?,positive
है use guy को someone पहले ही kill कर देता है,positive
okay . क्या Bruce को inheritance me lot of money मिलती है ?,positive
है और वह world travel करने निकल जाता है,neutral
यह learn करने कि injustice से कैसे लड़े,neutral
oh ओके.उसे कौन teach करता है कि कैसे fight करे ?,positive
एक रा'इस अल गुल नाम का मान,neutral
लेकिन यह turn out होता है कि वह evil था और Gotham को burn करना चाहता था,negative
Oh ok मुझे लगता है मुझे ये याद है,positive
तो क्या Gotham के लोग Bruce को प्यार करते हैं ?,positive
हां मुझे ऐसा लगता है,neutral
बाकी मैं तुम्हें खुद देखने धुँआ,neutral
chat के लिए thanks,positive
Thanks,positive
All the best,positive
है,neutral
क्या तुम अभी तक वहाँ हो ?,neutral
hello,neutral
क्या तुमने बहुत लंबा time लिया dude ?,neutral
"हाँ मैंने अभी reading खत्म किया , मैं show reader हुई",negative
on great,positive
lets roll,neutral
क्या आप ने wolf of wall street देखा है ?,neutral
नहीं पर review के according ये अच्छा नाटी है,positive
rating की बस पर यह काल शक्ति है कि यह movie scent है,positive
क्या बात है,neutral
क्या आप ने देखा,neutral
78 % rotten tomatoes चिप नहीं है,positive
Rotten tomatoes क्या है,neutral
film का क्या नाम है,neutral
"नमस्ते , सड़ा हुआ tomatoes score महान है , लेकिन मेहता critic score इस गुणवत्ता के film से थोड़ा कम लगता है .",positive
क्या आपको लगता है कि आपको film पसंद आएगी,neutral
यह किस तरह की film है,positive
film कब बनी थी ?,neutral
"आश्चर्य है कि महिला , मुझे लगता है कि मुझे इस film में बहुत मजा आयेगा",positive
film का क्या नाम है,neutral
यह डीएसए कॉमिक दुनिया में स्थापित एक एक्शन film है,positive
: film में कौन सितारे हैं,neutral
Movie 2015 में बनी थी,neutral
क्या इसने theaters में अच्छा प्रदर्शन किया ?,neutral
क्या मुझे इस पाने केलिए अन्य movie देखनी होंगी ?,negative
"मैं character जल गधोत है , लेकिन Chris पाइन , Robin wright और Danny huston भी हैं",positive
Movie के बारे में क्या है ?,neutral
"नहीं , मुझे लगता है कि यह movie एक stand alone piece है जिसे समझने के लिए आपको movies की knowledge की आवश्यकता नहीं होगी",negative
यह एक war movie ekshan movie है,neutral
क्या आपको लगता है कि यह बच्चों केलिए एक पारिवारिक movie है,neutral
क्या आप movie के किसी भी कलाकार से परिचित हैं ?,positive
थोड़ा मालूम,neutral
मुझे लगता है कि एक family में बचों के साथ देख सकते हैं,neutral
हो सकता है वह war के बारे में,neutral
कौनसे color की pallet use हुई है,positive
है वह film के वर के बारे में जाड़ा नहीं दिखते हैं बस वर ही दिखते हैं,positive
तो वो dark or cold or bright action है,neutral
movies में war रोकने के बारे में,neutral
कैसे एक आदमी वार रोक सकता है,neutral
मुझे लगता है ये movie दोनों bright scene और dark scene पर based है,neutral
वह एक wonderwoman है उसके पास super powers हैं,positive
तो वो मार्वले movie है,neutral
हाँ मार्वले के अलावा dc universe है,neutral
यह अभी तक cinemaghar से बाहर है ?,neutral
मैं यह नहीं सोचा पर मेजें विश्वास है कि यह ब्लू रे मैं बहार आएगी,positive
