Batman vs Superman	batman vs superman 
She was trying to be herself and at the same time protect her sister so I think it was satisfying since that was accomplished .	वह खुद होने की कोशिश कर रहे थे और साथ ही साथ अपनी बहन की रक्षा कर रहे थे , इसलिए मुझे लगता है कि यह पूरा होने के बाद से संतुष्ट थे . 
I agree	मैं सहमत हूँ 
Have you heard of the fairy tale that the movie was based on ?	क्या आपने परी कथा के बारे में सुना है जो film पर आधारित थी ? 
No , never .	नहीं कभी नहीं . 
Which character do you most admire ?	आप किस चरित्र की सबसे अधिक प्रशंसा करते हैं ? 
hello ?	नमस्कार 
Hello !	Hello ! 
What do you think of John Lee Hancock ?	तुम John Lee Hancock के बारे में क्या सोचते हो ? 
Hello .	Hello 
Hey ! Have you ever seen The Social Network ?	हे ! क्या The social network देखा ? 
I have not , but I know it was filmed in 2010 .	नहीं यार . लेकिन मुझे पता हैं कि वह 2010 mien filmed हवा 
Have you seen it ?	आप देख ? 
I personally enjoyed it . It tells the story of the founding of Facebook . Do you like movies based on reality ?	मैं personally enjoy किया .. facebook का story हैं यार .. reality based movie देखना पसंद हैं ? 
I do . I also like Jesse Eisenberg and Justin Timberlake . The movie got good reviews , so maybe I will watch it .	मुझे भी .. मुझे जैसे eisenberg और justin timberlake पसंद हैं . यह movie अछे reviews निकली , maybe मैं watch जरूर करूंगा 
I really would recommend it myself . It was extremely good . Jesse Eisenberg plays Zuckerburg in such an intense way . It's a great film .	तो मैं जरूर recommend करूँगा .. ये अछे हैं .. क्या जैसे eisenberg यानी zuckerburg का role play intense से किया .. वो तो बढ़िया film हैं 
Did you read the book the movie was based on ? The Accidental Billionaires ?	क्या आप उस book को read किया जो ये movie ? the accidental billionaires ? 
I just learned it was based on the book today . I'm definitely going to have to read it .	मैं कुछ learn किये हैं उस book से आज .. मैं definitely पढूंगा 
Apparently , the biographical part of the movie isn't exactly true to life , since the movie was based on the book . Mark Zuckerberg had no part in contributing to the movie .	अच्छा तो biographical part tho is movie में ज़रूर सच कहा होगा .. क्यों की is movie tho book का बसे हैं .. mark zuckerberg तो कोई contribute नहीं दिया होगा 
That is certainly interesting to know . I always wondered about it myself . Apparently , Saverin was the only consultant with any true to life information .	यह जानना जरूर interesting है . में हमेशा इस बारे में सोचता था . Apparently , Saverin अकेले consultant था जिसके पास कोई true to life information थी . 
Was it weird to see Armie Hammer play two people ?	क्या Armie Hammer को दो लोग play करते हुए देखना weird था ? 
It was ! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer . He is an amazing actor . I also think Facesmash is a hilarious startup name .	वह था ! To be honest उन्होंने इतना अच्छा काम किया की मुझे realize नही हुआ दोनों Armie Hammer थे . वह एक amazing actor हैं . में यह भी सोचता हूँ कि पकीसमश एक hilarious startup name है 
It is ! and what a crazy story ... basically he got dumped and made millions off of trying to get even with her .	ये हैं ! क्या crazy story है .. basically वह dumped होगया और उसे बदले लेते हुए millions कमा लिये 
How contentious of a person . Based off what you know of him would you have be friendly with him if you were in school with him at the time ?	Kinda contentious बंद है . जितना तुम अभी जानते हो , अगर उसके साथ school में होते तो क्या उसके साथ friendly होते ? 
Hmm ... probably not . He doesn't seem to have good luck keeping friends . How ironic as he invented Facebook . Do you think you'd have been friends ?	Hmm .. शायद नहीं . दोस्त रखने में तो उसका कोई अच्छा luck नहीं है . कितने ironic है कि उसने Facebook invent kiya . तुम क्या सोचते हो , क्या उसके दोस्त होते ? 
Absolutely not 1	बिल्कुल नहीं . 
I thought it was ironic as well . I couldnt believe it .	मैंने भी सोचा था कि यह ironic है . मुझे तो believe नहीं हुआ 
The scene where Christy Lee says Facebook me is kinda funny , too . It certainly beats facesmash me .	वह scene जहां Christy लिए बोलती है Facebook में funny type का है . Certainly facesmash में बोलने से तो अच्छा है . 
Agreed . It makes sense , but I had no idea how much help Zuckerberg had along the way ... Especially from one of the founders of Napster !	Agreed . इसका sense तो बनता है but मुझे कोई idea नहीं था कि Zuckerberg को रास्ते में कितनी help मिली है , especially Napster के एक founder सी . 
Justin Timberlake plays him so well too . I never knew about it either , but keep in mind it's based off the book . Who knows how much he actually was involved .	Justin Timberlake ने उसे बहुत अच्छा play किया है . मुझे भी इस बारे में कुछ नहीं पता था , लेकिन यह ध्यान में रखो कि यह book पे बसे हैं . कैसे पाता वह actually कितना involved था . 
That is true . I wonder if Mark Zuckerberg actually invited Sean Parker to live at Facebook headquarters !	यह तो सही है . में इस सोच में हूँ कि क्या Mark Zuckerberg ने Sean Parker को actually Facebook के headquarters में रहने के लिए बुलाया था ! 
I love how he was doing it from a house . You know that much happened . If Sean Parker was there , who knows . I love how tech company start ups are out of houses . I wonder what the other continent was they were trying to expand to first .	उनका यह सब घर से करना मुझे पसंद आया . तुम्हें पता है कितना कुछ हुआ . अगर Sean Parker वहां रहता तो , कैसे पता . I love कैसे यह tech company start up घर से चल रही है . I wonder वह कौनसी दूसरे continent में पहली expand करना चाहते थे 
I think that it is pretty funny considering the success he gained ... and " Thefacebook " ? First Facesmash , then Harvard Connection then Thefacebook ... yikes !	I think उसकी success को consider करते हुए थेफेकबुक काफी funny है . पहले पकीसमश , फिर Harvard Connection फिर थेफेकबुक yikes ! 
Thefacebook is just rotten . It seems like Zuckerberg really shafted everyone else in the situation .	थेफेकबुक तो बिलकुल बेकार है . ऐसा लगता है Zuckerberg ने सही में दूसरे लोगों की लिली 
It's kind of creepy how he just waited for Albright to accept the friend request , too .	उसका Albright का friend request accept करने तक wait करना काफी creepy था 
It's really sort of sad to me . He hasn't really changed from the beginning of the story .	मुझे तो यह sad लगा . वह story की beginning से ज्यादा बदला नहीं . 
That's how I feel . I'm not surprised he had to do a settlement .	मुझे तो ऐसा लगता है . में surprise नहीं हो के उसे settlement करना पड़ा 
He founded the biggest social network the world has ever seen , but he seems like a person who people hate .	उसने दुनिया का सबसे बड़ा social network बनाया but वह एक ऐसा आदमी लगता है जैसे लोग हटे करते हैं 
Extremely misanthropic . I would agree . It's overall kind of sad .	बिल्कुल misanthropic . में तो agree करता हूँ . Overall यह sad है . 
At least he didn't use his intelligence for true evil .	उसने बुराई करने के लिए दीमक का उपयोग नहीं किया 
are you still there ?	तुम अभी भी वहाँ हो 
It's been 10 minutes	10 MINUTES हो गया 
The movie is Toy Story .	movie है Toy Story 
From 1995 , director is John Lasseler , 100 % rotten tomatoes , 9/10 score .	1995 से , director हैं John Lasseler , rotten tomatoes में 100 % , 9/10 score है 
Hello , have you seen Toy Story ? I did . I Agree with the critical that is has the purity and ecstatic freedom of imagination . What do you think ?	हैलो , क्या तुमने Toy Story देखा है ? मैं मानता हूँ critic से कोई उसमें purity और ecstatic freedom of imagination हैं.क्या सोचते हो तुम ? 
I agree , it was a very popular movie .	हाँ agreed , वह बहुत popular movie था . 
I love animations and Pixar is amazing . This one was really perfect . As it was mentioned a work of genius .	मुझे animations पसंद हैं और Pixar amazing हैं.यह बहुत perfect था.जैसे mention किया था कि यह एक genius का work है . 
I also love Pixar	मुझे भी पिचर पसंद है 
Maybe they'll make another Toy Story movie .	शायद वह और एक toy story movie बनाएंगे 
The interaction between Woody and Buzz is really nice . Also hearing Tom Hanks as Wood is incredible .	woody और भुज के भीतर का संभाषण अच्छा है . और tom हांक का आवाज woody को suit होता है achese 
Oh yeah , classic voice	अरे ha , classic आवाज़ है 
I like how their friendship grew .	मुझे अच्छा लगता है कि कैसे उनकी friendship बढ़ती है 
It was really interesting to see they change from rivals to friends	यह देखने में अच्छा था कि कैसे वह दुश्मन से दोस्त बंटी हैं 
I like the supporting toys too .	मुझे स toys भी अछी लगी 
For sure Woody and Buzz are amazing but also the other are perfect .	woody and buzz to अछे है ही but बाकी लोग भी अछी थी 
Isn't there a few Toy Story movies ?	toy story के कम movie = से नहीं है न 
Yes for sure . On the begging the scene of Andy's party is really breathtaking don't you think ?	हुआ है . भीख मांगने के scene में andy की party बहोत अछि थी 
Yeah , when he first got Buzz .	है और जब उसकी पहली बुझ मिले 
You still there ?	क्या तुम वहाँ अभी तक हूँ ? 
For sure , and the other toys are very funny	हाँ sue , और दूसरी toy भी बहुत funny है 
Who is your favorite ?	आप का favorite कौन है ? 
Ohh difficult to say . But I suppose Mr Potato Head .	यह बहुत मुश्किल से कहना है कि मैं more potato head के support में हुई . 
And what about your ?	आपके अपने बड़े मैक्या खयाल है ? 
Bopeep I think	मैने सोचा bopeep 
And what about the scene on Pizza Planet . What a confusion , right ?	pizza planet के बारे में क्या कहना है . अभी क्या confusion है ? 
Yeah !	yeah ! 
but that's when the little aliens came in	जब little aliens आये 
For sure , and also all the run to be able to get there . Really nice .	हाँ क्यों नहीं , यहाँ सभी run मिल सकते हैं . bahut achcha 
And what about Andy's neighbor Sid . What a terrifying children for the toys , right ?	Andys की neighbor Sid के भाष्य में क्या खयाल है . toy के लिए terrifying children right hsi क्या ? 
Andy's RC car is really funny don't you think ?	Andy's RC कर बहुत funny है आप का क्या खयाल है ? 
I don't remember either .	मुझे याद नहीं है . 
Woody flying back to Andy's car is really a nice one .	Woody Andys की कार में वापस आता है जो एक अच्छी बात है 
Have you enjoyed the end of the history ?	क्या आप ने history की end को enjoy किया ? 
What do you mean ?	तुम्हारा क्या मतलब है ? 
How the things come to the end , meaning a happy end right ?	things कब end होगी means happy or right ? 
Oh definitely !	ha definitely ! 
hello	hello 
what is the name of the movie ?	movie का नाम क्या था ? 
hello	hello 
Did you watch ' The Post ' ?	क्या तुमने ' The Post ' देखी है ? 
No , i didnt	नही मैने नहीं किया 
what genre is it ?	कौनसा genre है यह ? 
it is ' Historical , Political '	यह ' Historical , Political ' है 
directed by Steven Spielberg	Steven Spielberg ने इसे direct किया 
oh . Does it have any actors that I might know of ?	oh . क्या इसमें कोई actor है जिसका मुझे पता हो ? 
Maryl Stree	मेरिल स्टोरी 
Streep	steel 
Tom Hanks	Tom Hanks 
is it a new movie ?	क्या यह नई movie है ? 
yes , 2017	हां , 2017 
oh , I guess im a bit behind the times . has it been well received ?	oh , मुझे लगता है मैं थोडा समय में पीछे हूँ . क्या ये well received हैं ? 
I think it's worth watching	मैं सोचता हूँ ये worth watching है 
do you want to know something about plot ?	क्या तुम plot के बारे में जानना चाहते हो ? 
what type of " post " is it named after ? whats the movie about ?	बाद में post का क्या नाम था ? movie के बारे में क्या कहना है ? 
yes please	हाँ please 
The Post depicts the story of attempts by journalists at The Washington Post to publish the Pentagon Paers	इस post में pentagon papers को प्रकाशित करने के लिए journalists की attempts की story है 
Papers	papers 
oh . is that related to the vietnam war ?	ये क्या vietnam war से related है ? 
yes	हुआ 
is the movie about a government cover up ?	यह movie government cover up के बारे में है ? 
the government always has something to hide ;)	government हमेशा कुछ छुपाने की कोशिश करती है ;) 
isnt that the truth !	यह क्या सच है ! 
it sounds like a movie id enjoy	मुझे लगता है कि मैं यह movie enjoy करूँगा 
I think that this film is worth watching	मुझे लगता है ये movie देखने लायक है 
is it a long show ?	क्या यहां लंबा show है ? 
do you know the length ?	क्या तुम्हें length पाता है ? 
I dont know the length	मुझे length नहीं पाता . 
but probably about 1.30 h as usual ...	लेकिन probably 1.30 है as usual .. 
do you know if it has won any awards ?	क्या तुम्हें पता है अगर कोई award जीता है ? 
I don't know	मुझे नहीं पता 
well thanks for telling me about the post . :)	Thanks मुझे post के बारे में बताने के लिए . 
Hello ! Do you like superhero movies ?	नमस्ते ! आप को superhero movies अच्छा लगेगा क्या ? 
yes . batman begins ! I think this a great batman film . have you seen it ?	ha . batman start हुआ ! मैने सोचा है कि ई batman film तो great है . आप देखा है क्या ? 
Yes , I have . Christian Bale is my favorite Batman so far .	ha . मेरे पास है . Christian Bale तो मेरे favorite Batman है अभी तक . 
Do you usually check the ratings of movies before you see them ?	आप movies का ratings देखेगा क्या , देखने के पहले ? 
I usually do . but the rating dose not determine whether i will watch the movie or not	मैने देखूंगी . लेकिन rating से कुछ फरक नहीं पड़ेगा , जो मैने देखूंगी या नहीं . 
The film has several great big name actors , which is another reason I like this one and would watch it based on the actors alone	एह film तो बहुत great बड़ा actors था , ई तो दूसरा reason है मेरे को अच्छा लगा और मैने देखूंगी बिना actors खेलिए . 
I agree , there are quite a few great actors in Batman Begins . I like Liam Neeson too , even though he is one of the villains .	ha , बहुत सारा great actors है Batman Begins में . मैने like करूंगी Liam Neeson तो भी , वह तो eek villain be है . 
seeing the potential for great actors together on a big screen defiantly gets my interest . along with super heros and villans . a good rating does help me feel like I will not waste my time watching something awful	उतना potential है actors में देखें big screen मेरे को बहुत interest आया था . मिलके दोनों super heroes और villains भी हुई . इसको अच्छा rating help करेगा , मैने time waste मत करूंगी दूसरा awful movie देखें . 
but the same time will not deter me from a film If i am just into the genre	लेकिन same time में मैने नही deter करूंगी ए film से if मैने just genre देखें . 
I personally prefer good ratings . Even if a movie has many good actors , if it's rated poorly , I usually won't watch it in theaters .	मैं personally अच्छी ratings prefer करता हूँ . Even अगर किसी movie में कई अच्छे actors हैं लेकिन अगर उसकी rating खराब है तो मैं उसको usually theaters में नहीं देखता . 
I'm not sure if I agree with the Metacritic Score of 70/100 , though .	वैसे मैं sure नहीं हूं कि मैं Metacritic के 70/100 score से agree करूंगा . 
The 84 % on Rotten Tomatoes seems more accurate .	Rotten Tomatoes पे 84 % ज्यादा accurate लगता है . 
I will generally have enough patience to wait for a film to be released on DVD / Video if the rating turn me off .	Generally मेरे पास enough patience होता है to wait for a film to be released on DVD / Video अगर मुझे rating पसंद नहीं आती . 
What did you think of the bat scene in the movie ?	Movie की बात scene के बारे में क्या ख्याल है ? 
I felt that scene shows the story of this film well , and is thought out .	मैं सोचता हूं कि यह scene shows the story of this film well , काफी सोचा समझा है . 
I wonder if there was a better place for the bats besides a dry well , though .	वैसे I wonder कि bats के लिए dry well से बेहतर कोई place हो सकती थी क्या 
batman as a child was good step by the filmm aker to show how his life started out	batman as a child अच्छा step था by the filmmaker यह दिखाने के लिए कि उसके life कैसे start हुई 
Because this movie is called Batman Begins , I agree that it was appropriate to show Bruce's beginnings .	Because movie का नाम Batman Begins है so I agree कि Bruce की शुरुआती life दिखाना appropriate है . 
I think it's ironic that the mugger's name is Joe Chill , but he isn't chill if he murders people .	मेरे ख्याल से यह ironic है है कि mugger's name is Joe Chill , लेकिन वह chill नहीं है if he murders people . 
