en,hinglish,label,hinglish_clean,label_encoded
I really did like the end of this movie . Especially when Tony Stark reveals his identity as Iron Man .,मुझे वास्तव में इस movie का end पसंद आया . Khaasakar जब Tony Stark ने Iron Man के रूप में अपनी पहचान बताए .,neutral,मुझे वास्तव में इस movie का end पसंद आया khaasakar जब tony stark ने iron man के रूप में अपनी पहचान बताए,1
I don't remember details but the entire movie was enjoyable,मुझे कुछ याद नहीं हैं लेकिन पूरा movie तो enjoy कर रहा था,positive,मुझे कुछ याद नहीं हैं लेकिन पूरा movie तो enjoy कर रहा था,2
As well as when Stark defeats Stane on top of his building .,तब shark तो स्टेन को defeat कर रहा था उस ऊपर वाली building से,positive,तब shark तो स्टेन को defeat कर रहा था उस ऊपर वाली building से,2
You'll have to watch it again and refresh your memory ! ! !,आप दूसरी बार इस movie को देखो और यादों को refresh करो,neutral,आप दूसरी बार इस movie को देखो और यादों को refresh करो,1
I think I recall that,मैं भी कुछ ऐसे ही सोचता था,neutral,मैं भी कुछ ऐसे ही सोचता था,1
"Yes , I do need to watch it again",हाँ .. मैं ज़रूर देखूंगा,neutral,हाँ मैं ज़रूर देखूंगा,1
maybe during spring break,spring का break में देख लूंगा,neutral,spring का break में देख लूंगा,1
Perfect ! You can follow up with the sequels . Haha,perfect ! आप sequels भी folk करो .. ha ha,positive,perfect आप sequels भी folk करो ha ha,2
it's one of those movies you can just pick up and watch any time,"यह इन movies में यक हैं , आप अभी ही pick up करो और कभी भी watch कर सकते हैं",neutral,यह इन movies में यक हैं आप अभी ही pick up करो और कभी भी watch कर सकते हैं,1
you don't really need to know the background,आप को तो यह background को पता ही नहीं,positive,आप को तो यह background को पता ही नहीं,2
"Definitely ! Even for the sequels . Still enjoyable . Well , it's been nice chatting ! Enjoy the rest of your day .",Definitely ! मैं sequels भी देख लूँगा .. बहुत मजा आयेगा .. तो आपसे chat करने से अछे लगे ... rest of the day enjoy करो ..,positive,definitely मैं sequels भी देख लूँगा बहुत मजा आयेगा तो आपसे chat करने से अछे लगे rest of the day enjoy करो,2
HI,नमस्ते,neutral,नमस्ते,1
HI,नमस्ते,neutral,नमस्ते,1
DID YOU SEE THIS FILM WONDER WOMAN,क्या आपने wonder woman film देखा है,neutral,क्या आपने wonder woman film देखा है,1
YES,हुआ,neutral,हुआ,1
DO U LIKE THIS FILM ?,क्या यह film आप को पसंद है ?,neutral,क्या यह film आप को पसंद है,1
S I LIKE THIS FILM,मुझे यह film पसंद है,neutral,मुझे यह film पसंद है,1
IT IS BASED ON DC COMISC . THE DISTRIBUTED BY WAMER BROS . PICTURES,यह dc comic पर आधारित है . वेमर bros pictures ने वितरित किया है,neutral,यह dc comic पर आधारित है वेमर bros pictures ने वितरित किया है,1
YEAH IT IS A FAMOUS DC COMICS .,हां वो एक famous DC Comics है,positive,हां वो एक famous dc comics है,2
GOOD,अच्छा,positive,अच्छा,2
THIS IS German Army ( German Empire ),ये हैं German Army ( German Empire ),neutral,ये हैं german army german empire,1
"yes i know . The term Deutsches Heer is also used for the modern German Army , the land component of the Bundeswehr .",हाँ मैं जानता हूँ . यह term Deutsches हर modern German Army के लिए भी उसे हो हैं . Bundeswehr का land component,neutral,हाँ मैं जानता हूँ यह term deutsches हर modern german army के लिए भी उसे हो हैं bundeswehr का land component,1
"S APART FROM THIS Jenkins's role as director makes her the first female director of a live-action , theatrically released comic book superhero film .",इसके अलावा Jenkin का role as a director use पहली women director बना देता है किसी भी live-action theatrically released comic book superhero film का,positive,इसके अलावा jenkin का role as a director use पहली women director बना देता है किसी भी liveaction theatrically released comic book superhero film का,2
ARE YOU LIKE THAT MOVIE,तुम्हें वो movie पसंद आई ?,neutral,तुम्हें वो movie पसंद आई,1
YES I LIKE THAT . AND ALSO I ENJOYED THIS MOVIE .,हाँ मुझे पसंद आई और मैंने इस movie को enjoy भी किया,positive,हाँ मुझे पसंद आई और मैंने इस movie को enjoy भी किया,2
OH HOW MANY TIMES YOU SEE THIS MOVIE,Oh कितनी बार देख चुकी हूँ ये movie ?,positive,oh कितनी बार देख चुकी हूँ ये movie,2
2 TIMES I WATCHED THIS MOVIE .,मैं यह movie 2 बार देख चुका हूँ,neutral,मैं यह movie बार देख चुका हूँ,1
ARE YOU LIKE THIS MOVIE DIRECTOR,तुम्हें movie की director पसंद आयी क्या ?,neutral,तुम्हें movie की director पसंद आयी क्या,1
ARE YOU FROM,आप कहाँ से हैं ?,neutral,आप कहाँ से हैं,1
YEAH I LIKE THIS FILM DIRECTOR .,है मुझे यह film director पसंद है,neutral,है मुझे यह film director पसंद है,1
YEAH,है,neutral,है,1
WHAT YEAH,क्या है,neutral,क्या है,1
ARE YOU FROM,आप कहाँ से है,neutral,आप कहाँ से है,1
YES I AM HERE,है मैं यहाँ हूँ,neutral,है मैं यहाँ हूँ,1
WHY DO LIKE THIS FILM ?,क्यों यह film पसंद है,neutral,क्यों यह film पसंद है,1
YES I LIKE THIS FILM,है मुझे ये movie पसंद है,neutral,है मुझे ये movie पसंद है,1
BUT IAM NOT SEE THIS MOVIE,लेकिन my यह movie नहीं देखा,neutral,लेकिन my यह movie नहीं देखा,1
WHY DO DID NOT SEE THAT ? DO YOU KNOW THIS MOVIE IS REALLY GOOD,क्यूँ देख नहीं सकते हो ? तुम्हें पता है यह movie बहुत अछी है,positive,क्यूँ देख नहीं सकते हो तुम्हें पता है यह movie बहुत अछी है,2
WHICH CHARECTER YOU LIKE THIS MOVIE,IS FILM में कौन सी भूमिका आप को अच्छा लगा,neutral,is film में कौन सी भूमिका आप को अच्छा लगा,1
I LIKE ALL THE CHARACTER IN THIS FILM,IS FILM मेमझे सब भूमिका अछी लगी,neutral,is film मेमझे सब भूमिका अछी लगी,1
OH REALLY,सच,positive,सच,2
THAT NICE,बेहतर,positive,बेहतर,2
OK FINE,बहुत अच्छा,positive,बहुत अच्छा,2
"Hey , have you seen The Avengers ? It's a pretty good movie , you should check it out if you like Robert Downey Jr .","है , क्या तुमने Avengers देखि ? The Avengers ? यह pretty good movie है , तुम्हें check करना चाहिए अगर तुम Robert Downey जोर , को like करते हो .",positive,है क्या तुमने avengers देखि the avengers यह pretty good movie है तुम्हें check करना चाहिए अगर तुम robert downey जोर को like करते हो,2
"YES , I KNOW AND ALSO I LIKE THE MOVIE","yes , मैं जानता हूँ and me यह movie like करता हूँ",neutral,yes मैं जानता हूँ and me यह movie like करता हूँ,1
"It's really great what Mark Ruffalo did as Bruce Banner / The Hulk , making him so calm yet ready to become a volcano don't you think ?","यह वास्तव में बहुत अच्छा है कि maark raphphaalo ने broos bainar / द हल्क के रूप में क्या किया , जिससे वह इतना शांत हो गया कि आप ज्वालामुखी बनाने के लिए तैयार नहीं हैं ?",positive,यह वास्तव में बहुत अच्छा है कि maark raphphaalo ने broos bainar द हल्क के रूप में क्या किया जिससे वह इतना शांत हो गया कि आप ज्वालामुखी बनाने के लिए तैयार नहीं हैं,2
"Yes , I think so",हां मुझे ऐसा लगता है,neutral,हां मुझे ऐसा लगता है,1
"I'm not always a big Joss Whedon fan , but he did a good job with the humor to spice up the team origin story . Were you surprised that it worked with so many characters ?","मैं हमेशा एक बड़ा Joss Whedon prashansak नहीं हूँ , लेकिन उन्होंने teem की मूल कहानी को मसाला देने के लिए हास्य के साथ अच्छा काम किया . क्या आप आश्चर्यचकित थी कि इसने कई पात्रों के साथ काम किया ?",positive,मैं हमेशा एक बड़ा joss whedon prashansak नहीं हूँ लेकिन उन्होंने teem की मूल कहानी को मसाला देने के लिए हास्य के साथ अच्छा काम किया क्या आप आश्चर्यचकित थी कि इसने कई पात्रों के साथ काम किया,2
"Strictly , this may be his main potential","सख्ती से , या उसके मुख्य क्षमता हो सकती है",neutral,सख्ती से या उसके मुख्य क्षमता हो सकती है,1
"I would say Robert Downey Jr . is also playing to his potential here , with his sharp tongue and sophistication . Who was your favorite character ?","मैं कहूंगा कि Robert Downey जोर भी यहां अपनी क्षमता के साथ खेल रहे हैं , अपने तेज जीभ और परिष्कार के साथ . आपका पसंदीदा चरित्र कौन था ?",positive,मैं कहूंगा कि robert downey जोर भी यहां अपनी क्षमता के साथ खेल रहे हैं अपने तेज जीभ और परिष्कार के साथ आपका पसंदीदा चरित्र कौन था,2
Robert Downey is my favorite favorite CHARACTER,Robert Downey मेरे सबसे पसंदीदा पसंदीदा चरित्र है,positive,robert downey मेरे सबसे पसंदीदा पसंदीदा चरित्र है,2
Did you think he made a good leadership figure of the Avengers or did anybody else stand out to you more that way ?,क्या आपको लगता है कि उन्होंने evenjars की अच्छी leadership की या किसी और ने आपको इस तरह से खड़ा किया ?,positive,क्या आपको लगता है कि उन्होंने evenjars की अच्छी leadership की या किसी और ने आपको इस तरह से खड़ा किया,2
"No , he is right","नहीं , वह सही है",positive,नहीं वह सही है,2
"That opening with the Tesseract escape was pretty cool , setting the tone for the movie .","Tesseract से बचकर निकलना काफी अच्छा था , films के लिए टोन set करना .",positive,tesseract से बचकर निकलना काफी अच्छा था films के लिए टोन set करना,2
MAY BE That was the reason for the film's success,मैं भई यही film की सफलता का कारण था,positive,मैं भई यही film की सफलता का कारण था,2
"Yeah , it was pretty surprising when Hawkey got enslaved so early in the movie though .",हाँ जब हौके movie में इतनी जल्दी enslave होगया तो वह काफी surprising था,positive,हाँ जब हौके movie में इतनी जल्दी enslave होगया तो वह काफी surprising था,2
It refers to image capture skills,वह image capture skills के बारे में है,neutral,वह image capture skills के बारे में है,1
PLEASE CHAT ME FAST,Please मुझे chat करो fast,positive,please मुझे chat करो fast,2
"I'm not sure about that , but Nick Fury is always so cool . Too bad the bad guys always have to get one up on them .","मैं उसके बारे में सूर्य नहीं हूँ , but Nick Fury हमेशा बहुत cool रहता है . अफसोस बाद guys हमेशा एक कदम आगे रहते हैं",negative,मैं उसके बारे में सूर्य नहीं हूँ but nick fury हमेशा बहुत cool रहता है अफसोस बाद guys हमेशा एक कदम आगे रहते हैं,0
It's their nature and it's impossible,वह उनका nature है और वह impossible है,negative,वह उनका nature है और वह impossible है,0
I guess so . I wonder what the deal is with the leader of those Chitauri ? Very mysterious .,I guess so . आखिर चितौरी के leader का क्या मामला है . काफी mysterious,neutral,i guess so आखिर चितौरी के leader का क्या मामला है काफी mysterious,1
It was a mystery to the last,वह बिल्कुल last तक mystery था,neutral,वह बिल्कुल last तक mystery था,1
For this film at least I guess . It was pretty sad when Coulson died . Did that scene get you ?,At least is film के लिए I guess . जब Coulson मेरा काफी sad था . किया उस scene में feeling आई ?,negative,at least is film के लिए i guess जब coulson मेरा काफी sad था किया उस scene में feeling आई,0
There is a glimpse of seeing,देखने की एक झलक थी,neutral,देखने की एक झलक थी,1
"Yeah , a t least it brought the Avengers together finally , no need for them to be fighting each other the whole time .","हाँ , at least सभी avengers को साथ ले आये , pure time आपस में लड़ने की कोई जरूरत नहीं थी",neutral,हाँ at least सभी avengers को साथ ले आये pure time आपस में लड़ने की कोई जरूरत नहीं थी,1
There is no need,कोई ज़रूरत नहीं,neutral,कोई ज़रूरत नहीं,1
"Absolutely . Beat on Loki , like the Hulk did . Who kicked the most butt do you think ?",absolutely loki को मारो जैसे हलक ने मारा था उसकी butt पर लात किसने मारी,positive,absolutely loki को मारो जैसे हलक ने मारा था उसकी butt पर लात किसने मारी,2
I think so,मुझे लगता है ऐसा,neutral,मुझे लगता है ऐसा,1
"I loved that Hulk saved Iron Man when he was falling , such a great moment .",मुझे अच्छा लगा कि हल्क ने Iron मान को बचाया गिरने से कितना अच्छा समय था वो,positive,मुझे अच्छा लगा कि हल्क ने iron मान को बचाया गिरने से कितना अच्छा समय था वो,2
I like Hulk too,मुझे भी Hulk पसंद है,neutral,मुझे भी hulk पसंद है,1
"Yeah he's the best . It's great that the whole team had to work together to save the day in the end , don't you think ?","तुम्हें नहीं लगता वह सबसे अच्छा है , बोट बड़ी बात है कि पूरी team साथ में काम करती है दिन को आखिर में बचाने के लिए ?",positive,तुम्हें नहीं लगता वह सबसे अच्छा है बोट बड़ी बात है कि पूरी team साथ में काम करती है दिन को आखिर में बचाने के लिए,2
I knew and I thought,मुझे पता है मैं सोच रहा था,neutral,मुझे पता है मैं सोच रहा था,1
There were certainly some high stakes with that nuclear missile heading for New York .,कुछ तो बोट बड़ा stake है use nuclear missile में जो new york की तरफ जा रही थी,positive,कुछ तो बोट बड़ा stake है use nuclear missile में जो new york की तरफ जा रही थी,2
Hi there . What did you think of the movie ?,नमस्ते . अपने film के बारे में क्या सोचा ?,neutral,नमस्ते अपने film के बारे में क्या सोचा,1
Hello ?,नमस्ते ?,neutral,नमस्ते,1
"Hi , I think it's great , it would be good as a B roadway musical","नमस्ते , मुझे लगता है कि यह बहुत अच्छा है , यह भी रोडवे sangeet के रूप में अच्छा होगा",positive,नमस्ते मुझे लगता है कि यह बहुत अच्छा है यह भी रोडवे sangeet के रूप में अच्छा होगा,2
Why do you think it would be great as a Broadway musical ?,आपको क्या लगता है कि ब्रॉडआवे sangeet के रूप में यह बहुत अच्छा होगा ?,positive,आपको क्या लगता है कि ब्रॉडआवे sangeet के रूप में यह बहुत अच्छा होगा,2
mainly the singing but also since the story is about a journey .,मुख्य रूप से गायन लेकिन जब से कहानी एक यात्रा के बारे में है .,positive,मुख्य रूप से गायन लेकिन जब से कहानी एक यात्रा के बारे में है,2
What do you think ?,तुम क्या सोचते हो ?,neutral,तुम क्या सोचते हो,1
"The music in movie is very catchy and enjoyable , so I agree .","films में संगीत बहुत ही आकर्षक और आनंददायक है , इसलिए मैं सहमत हूँ .",positive,films में संगीत बहुत ही आकर्षक और आनंददायक है इसलिए मैं सहमत हूँ,2
Whose journey did you find most compelling ?,आपने किसकी यात्रा को सबसे अधिक सम्मोहक पाया ?,positive,आपने किसकी यात्रा को सबसे अधिक सम्मोहक पाया,2
Anna's journey,अन्ना की यात्रा,neutral,अन्ना की यात्रा,1
Did you think the conclusion was satisfying for her character ?,क्या आपको लगता है कि निष्कर्ष उसके चरित्र के लिए संतोषजनक था ?,positive,क्या आपको लगता है कि निष्कर्ष उसके चरित्र के लिए संतोषजनक था,2
She was trying to be herself and at the same time protect her sister so I think it was satisfying since that was accomplished .,"वह खुद होने की कोशिश कर रहे थे और साथ ही साथ अपनी बहन की रक्षा कर रहे थे , इसलिए मुझे लगता है कि यह पूरा होने के बाद से संतुष्ट थे .",positive,वह खुद होने की कोशिश कर रहे थे और साथ ही साथ अपनी बहन की रक्षा कर रहे थे इसलिए मुझे लगता है कि यह पूरा होने के बाद से संतुष्ट थे,2
I agree,मैं सहमत हूँ,neutral,मैं सहमत हूँ,1
Have you heard of the fairy tale that the movie was based on ?,क्या आपने परी कथा के बारे में सुना है जो film पर आधारित थी ?,neutral,क्या आपने परी कथा के बारे में सुना है जो film पर आधारित थी,1
"No , never .",नहीं कभी नहीं .,neutral,नहीं कभी नहीं,1
Which character do you most admire ?,आप किस चरित्र की सबसे अधिक प्रशंसा करते हैं ?,positive,आप किस चरित्र की सबसे अधिक प्रशंसा करते हैं,2
hello ?,नमस्कार,neutral,नमस्कार,1
Hello !,Hello !,neutral,hello,1
What do you think of John Lee Hancock ?,तुम John Lee Hancock के बारे में क्या सोचते हो ?,neutral,तुम john lee hancock के बारे में क्या सोचते हो,1
Hello .,Hello,neutral,hello,1
Hey ! Have you ever seen The Social Network ?,हे ! क्या The social network देखा ?,neutral,हे क्या the social network देखा,1
"I have not , but I know it was filmed in 2010 .",नहीं यार . लेकिन मुझे पता हैं कि वह 2010 mien filmed हवा,neutral,नहीं यार लेकिन मुझे पता हैं कि वह mien filmed हवा,1
Have you seen it ?,आप देख ?,neutral,आप देख,1
I personally enjoyed it . It tells the story of the founding of Facebook . Do you like movies based on reality ?,मैं personally enjoy किया .. facebook का story हैं यार .. reality based movie देखना पसंद हैं ?,positive,मैं personally enjoy किया facebook का story हैं यार reality based movie देखना पसंद हैं,2
"I do . I also like Jesse Eisenberg and Justin Timberlake . The movie got good reviews , so maybe I will watch it .","मुझे भी .. मुझे जैसे eisenberg और justin timberlake पसंद हैं . यह movie अछे reviews निकली , maybe मैं watch जरूर करूंगा",positive,मुझे भी मुझे जैसे eisenberg और justin timberlake पसंद हैं यह movie अछे reviews निकली maybe मैं watch जरूर करूंगा,2
I really would recommend it myself . It was extremely good . Jesse Eisenberg plays Zuckerburg in such an intense way . It's a great film .,तो मैं जरूर recommend करूँगा .. ये अछे हैं .. क्या जैसे eisenberg यानी zuckerburg का role play intense से किया .. वो तो बढ़िया film हैं,positive,तो मैं जरूर recommend करूँगा ये अछे हैं क्या जैसे eisenberg यानी zuckerburg का role play intense से किया वो तो बढ़िया film हैं,2
Did you read the book the movie was based on ? The Accidental Billionaires ?,क्या आप उस book को read किया जो ये movie ? the accidental billionaires ?,neutral,क्या आप उस book को read किया जो ये movie the accidental billionaires,1
I just learned it was based on the book today . I'm definitely going to have to read it .,मैं कुछ learn किये हैं उस book से आज .. मैं definitely पढूंगा,neutral,मैं कुछ learn किये हैं उस book से आज मैं definitely पढूंगा,1
"Apparently , the biographical part of the movie isn't exactly true to life , since the movie was based on the book . Mark Zuckerberg had no part in contributing to the movie .",अच्छा तो biographical part tho is movie में ज़रूर सच कहा होगा .. क्यों की is movie tho book का बसे हैं .. mark zuckerberg तो कोई contribute नहीं दिया होगा,positive,अच्छा तो biographical part tho is movie में ज़रूर सच कहा होगा क्यों की is movie tho book का बसे हैं mark zuckerberg तो कोई contribute नहीं दिया होगा,2
"That is certainly interesting to know . I always wondered about it myself . Apparently , Saverin was the only consultant with any true to life information .","यह जानना जरूर interesting है . में हमेशा इस बारे में सोचता था . Apparently , Saverin अकेले consultant था जिसके पास कोई true to life information थी .",positive,यह जानना जरूर interesting है में हमेशा इस बारे में सोचता था apparently saverin अकेले consultant था जिसके पास कोई true to life information थी,2
Was it weird to see Armie Hammer play two people ?,क्या Armie Hammer को दो लोग play करते हुए देखना weird था ?,negative,क्या armie hammer को दो लोग play करते हुए देखना weird था,0
It was ! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer . He is an amazing actor . I also think Facesmash is a hilarious startup name .,वह था ! To be honest उन्होंने इतना अच्छा काम किया की मुझे realize नही हुआ दोनों Armie Hammer थे . वह एक amazing actor हैं . में यह भी सोचता हूँ कि पकीसमश एक hilarious startup name है,positive,वह था to be honest उन्होंने इतना अच्छा काम किया की मुझे realize नही हुआ दोनों armie hammer थे वह एक amazing actor हैं में यह भी सोचता हूँ कि पकीसमश एक hilarious startup name है,2
It is ! and what a crazy story ... basically he got dumped and made millions off of trying to get even with her .,ये हैं ! क्या crazy story है .. basically वह dumped होगया और उसे बदले लेते हुए millions कमा लिये,negative,ये हैं क्या crazy story है basically वह dumped होगया और उसे बदले लेते हुए millions कमा लिये,0
How contentious of a person . Based off what you know of him would you have be friendly with him if you were in school with him at the time ?,"Kinda contentious बंद है . जितना तुम अभी जानते हो , अगर उसके साथ school में होते तो क्या उसके साथ friendly होते ?",positive,kinda contentious बंद है जितना तुम अभी जानते हो अगर उसके साथ school में होते तो क्या उसके साथ friendly होते,2
Hmm ... probably not . He doesn't seem to have good luck keeping friends . How ironic as he invented Facebook . Do you think you'd have been friends ?,"Hmm .. शायद नहीं . दोस्त रखने में तो उसका कोई अच्छा luck नहीं है . कितने ironic है कि उसने Facebook invent kiya . तुम क्या सोचते हो , क्या उसके दोस्त होते ?",positive,hmm शायद नहीं दोस्त रखने में तो उसका कोई अच्छा luck नहीं है कितने ironic है कि उसने facebook invent kiya तुम क्या सोचते हो क्या उसके दोस्त होते,2
Absolutely not 1,बिल्कुल नहीं .,neutral,बिल्कुल नहीं,1
I thought it was ironic as well . I couldnt believe it .,मैंने भी सोचा था कि यह ironic है . मुझे तो believe नहीं हुआ,positive,मैंने भी सोचा था कि यह ironic है मुझे तो believe नहीं हुआ,2
